"CONDE","CONDE(PB)","CONDE(BA)",,,
"FATIMA","FATIMA(TO)","FATIMA(BA)",,,
"FILADELFIA","FILADELFIA(TO)","FILADELFIA(BA)",,,
"ITAMBE","ITAMBE(PE)","ITAMBE(BA)","ITAMBE(PR)",,,
"JANDAIRA","JANDAIRA(RN)","JANDAIRA(BA)",,,
"MILAGRES","MILAGRES(CE)","MILAGRES(BA)",,,
"NAZARE","NAZARE(TO)","NAZARE(BA)",,,
"PRESIDENTE DUTRA","PRESIDENTE DUTRA(MA)","PRESIDENTE DUTRA(BA)",,,
"QUEIMADAS","QUEIMADAS(PB)","QUEIMADAS(BA)",,,
"RIACHO DE SANTANA","RIACHO DE SANTANA(RN)","RIACHO DE SANTANA(BA)",,,
"RUY BARBOSA","RUY BARBOSA(RN)","RUY BARBOSA(BA)",,,
"SANTA TEREZINHA","SANTA TEREZINHA(PE)","SANTA TEREZINHA(BA)","SANTA TEREZINHA(SC)","SANTA TEREZINHA(MG)"
"SANTANA","SANTANA(AM)","SANTANA(BA)",,,
"SERRINHA","SERRINHA(RN)","SERRINHA(BA)",,,
"TAPEROA","TAPEROA(PB)","TAPEROA(BA)",,,
"TERRA NOVA","TERRA NOVA(PE)","TERRA NOVA(BA)",,,
"VERA CRUZ","VERA CRUZ(RN)","VERA CRUZ(BA)","VERA CRUZ(SP)","VERA CRUZ(RS)",
"BOM SUCESSO","BOM SUCESSO(PB)","BOM SUCESSO(MG)","BOM SUCESSO(PR)",,
"BONFIM","BONFIM(RO)","BONFIM(MG)",,,
"BURITIS","BURITIS(RO)","BURITIS(MG)",,,
"CAMPESTRE","CAMPESTRE(AL)","CAMPESTRE(MG)",,,
"CANAPOLIS","CANAPOLIS(BA)","CANAPOLIS(MG)",,,
"CANDEIAS","CANDEIAS(BA)","CANDEIAS(MG)",,,
"GOIANA","GOIANA(PE)","GOIANA(MG)",,,
"LAGOA GRANDE","LAGOA GRANDE(PE)","LAGOA GRANDE(MG)",,,
"NOVA UNIAO","NOVA UNIAO(RO)","NOVA UNIAO(MG)",,,
"PRATA","PRATA(PB)","PRATA(MG)",,,
"PRESIDENTE JUSCELINO","PRESIDENTE JUSCELINO(MA)","PRESIDENTE JUSCELINO(MG)",,,
"RIACHINHO","RIACHINHO(TO)","RIACHINHO(MG)",,,
"SANTA BARBARA","SANTA BARBARA(BA)","SANTA BARBARA(MG)",,,
"SAO JOAO DO PARAISO","SAO JOAO DO PARAISO(MA)","SAO JOAO DO PARAISO(MG)",,,
"SAO JOSE DO DIVINO","SAO JOSE DO DIVINO(PI)","SAO JOSE DO DIVINO(MG)",,,
"BOA ESPERANCA","BOA ESPERANCA(MG)","BOA ESPERANCA(ES)","BOA ESPERANCA(PR)",,
"PRESIDENTE KENNEDY","PRESIDENTE KENNEDY(TO)","PRESIDENTE KENNEDY(ES)",,,
"VIANA","VIANA(MA)","VIANA(ES)",,,
"CANTAGALO","CANTAGALO(MG)","CANTAGALO(RJ)",,,
"MESQUITA","MESQUITA(MG)","MESQUITA(RJ)",,,
"NATIVIDADE","NATIVIDADE(TO)","NATIVIDADE(RJ)",,,
"SAPUCAIA","SAPUCAIA(PA)","SAPUCAIA(RJ)",,,
"VALENCA","VALENCA(BA)","VALENCA(RJ)",,,
"ALTO ALEGRE","ALTO ALEGRE(RO)","ALTO ALEGRE(SP)","ALTO ALEGRE(RS)",,
"AMPARO","AMPARO(PB)","AMPARO(SP)",,,
"APARECIDA","APARECIDA(PB)","APARECIDA(SP)",,,
"BOCAINA","BOCAINA(PI)","BOCAINA(SP)",,,
"BORBOREMA","BORBOREMA(PB)","BORBOREMA(SP)",,,
"CEDRAL","CEDRAL(MA)","CEDRAL(SP)",,,
"ITAPEVA","ITAPEVA(MG)","ITAPEVA(SP)",,,
"ITAPORANGA","ITAPORANGA(PB)","ITAPORANGA(SP)",,,
"JABORANDI","JABORANDI(BA)","JABORANDI(SP)",,,
"NOVO HORIZONTE","NOVO HORIZONTE(BA)","NOVO HORIZONTE(SP)","NOVO HORIZONTE(SC)",,
"PALESTINA","PALESTINA(AL)","PALESTINA(SP)",,,
"PLANALTO","PLANALTO(BA)","PLANALTO(SP)","PLANALTO(PR)","PLANALTO(RS)"
"PRESIDENTE BERNARDES","PRESIDENTE BERNARDES(MG)","PRESIDENTE BERNARDES(SP)",,,
"RIO CLARO","RIO CLARO(RJ)","RIO CLARO(SP)",,,
"SANTO ANDRE","SANTO ANDRE(PB)","SANTO ANDRE(SP)",,,
"SAO PEDRO","SAO PEDRO(RN)","SAO PEDRO(SP)",,,
"SAO SEBASTIAO","SAO SEBASTIAO(AL)","SAO SEBASTIAO(SP)",,,
"SAO VICENTE","SAO VICENTE(RN)","SAO VICENTE(SP),,,
"SERTAOZINHO","SERTAOZINHO(PB)","SERTAOZINHO(SP)",,,
"TABATINGA","TABATINGA(AM)","TABATINGA(SP)",,,
"TAPIRAI","TAPIRAI(MG)","TAPIRAI(SP)",,,
"TEODORO SAMPAIO","TEODORO SAMPAIO(BA)","TEODORO SAMPAIO(SP)",,,
"TURMALINA","TURMALINA(MG)","TURMALINA(SP)",,,
"ALTO PARAISO","ALTO PARAISO(RO)","ALTO PARAISO(PR)",,,
"ARAPUA","ARAPUA(MG)","ARAPUA(PR)",,,
"ARARUNA","ARARUNA(PB)","ARARUNA(PR)",,,
"ATALAIA","ATALAIA(AL)","ATALAIA(PR)",,,
"CAFELANDIA","CAFELANDIA(SP)","CAFELANDIA(PR)",,,
"CAPANEMA","CAPANEMA(PA)","CAPANEMA(PR)",,,
"CASCAVEL","CASCAVEL(CE)","CASCAVEL(PR)",,,
"CRUZEIRO DO SUL","CRUZEIRO DO SUL(AC)","CRUZEIRO DO SUL(PR)",,,
"FLORESTA","FLORESTA(PE)","FLORESTA(MG)","FLORESTA(PR)",,
"GUAIRA","GUAIRA(SP)","GUAIRA(PR)",,,
"GUARACI","GUARACI(SP)","GUARACI(PR)",,,
"IGUATU","IGUATU(CE)","IGUATU(PR)",,,
"INAJA","INAJA(PE)","INAJA(PR)",,,
"INDIANOPOLIS","INDIANOPOLIS(MG)","INDIANOPOLIS(PR)",,,
"JAPURA","JAPURA(AM)","JAPURA(PR)",,,
"JUSSARA","JUSSARA(BA)","JUSSARA(PR)","JUSSARA(GO)",,
"LARANJAL","LARANJAL(MG)","LARANJAL(PR)",,,
"MIRADOR","MIRADOR(MA)","MIRADOR(PR)",,,
"NOVA FATIMA","NOVA FATIMA(BA)","NOVA FATIMA(PR)",,,
"PALMAS","PALMAS(TO)","PALMAS(PR)",,
"PALMITAL","PALMITAL(SP)","PALMITAL(PR)",,,
"PINHAO","PINHAO(SE)","PINHAO(PR)",,,
"PITANGUEIRAS","PITANGUEIRAS(SP)","PITANGUEIRAS(PR)",,,
"SANTA LUCIA","SANTA LUCIA(SP)","SANTA LUCIA(PR)",,,
"SAO JOAO","SAO JOAO(PE)","SAO JOAO(PR)",,,
"SAO TOME","SAO TOME(RN)","SAO TOME(PR)",,,
"TAPIRA","TAPIRA(MG)","TAPIRA(PR)",,,
"TERRA ROXA","TERRA ROXA(SP)","TERRA ROXA(PR)",,,
"TOLEDO","TOLEDO(MG)","TOLEDO(PR)",,,
"WENCESLAU BRAZ","WENCESLAU BRAZ(MG)","WENCESLAU BRAZ(PR)",,,
"ANCHIETA","ANCHIETA(ES)","ANCHIETA(SC)",,,
"ANTONIO CARLOS","ANTONIO CARLOS(MG)","ANTONIO CARLOS(SC)",,,
"AURORA","AURORA(CE)","AURORA(SC)",,,
"BARRA BONITA","BARRA BONITA(SP)","BARRA BONITA(SC)",,,
"BELMONTE","BELMONTE(BA)","BELMONTE(SC)",,,
"CAMPO ALEGRE","CAMPO ALEGRE(AL)","CAMPO ALEGRE(SC)",,,
