4303;Centro Ocidental Rio-grandense;43;RIO GRANDE DO SUL
4304;Centro Oriental Rio-grandense;43;RIO GRANDE DO SUL
4305;Metropolitana de Porto Alegre;43;RIO GRANDE DO SUL
4306;Sudoeste Rio-grandense;43;RIO GRANDE DO SUL
4307;Sudeste Rio-grandense;43;RIO GRANDE DO SUL
5001;Pantanais Sul Mato-grossense;50;MATO GROSSO DO SUL
5002;Centro Norte de Mato Grosso do S;50;MATO GROSSO DO SUL
5003;Leste de Mato Grosso do Sul;50;MATO GROSSO DO SUL
5004;Sudoeste de Mato Grosso do Sul;50;MATO GROSSO DO SUL
5101;Norte Mato-grossense;51;MATO GROSSO
5102;Nordeste Mato-grossense;51;MATO GROSSO
5103;Sudoeste Mato-grossense;51;MATO GROSSO
5104;Centro-Sul Mato-grossense;51;MATO GROSSO
5105;Sudeste Mato-grossense;51;MATO GROSSO
5201;Noroeste Goiano;52;GOIAS
5202;Norte Goiano;52;GOIAS
5203;Centro Goiano;52;GOIAS
5204;Leste Goiano;52;GOIAS
5205;Sul Goiano;52;GOIAS
5301;Distrito Federal;53;DISTRITO FEDERAL
