"BOA ESPERANCA"
"CANTAGALO"
"MESQUITA", "MESQUITA MINAS", "MESQUITA PAULO"
"ITAPEVA", "ITAPEVA MINAS", "ITAPEVA PAULO"
"PRESIDENTE BERNARDES"
"RIO CLARO"
"SAO FRANCISCO"
"TAPIRAI"
"TURMALINA"

